GEO,TOTAL,15-29,30-49,50-64,65-84,85+,0-15
AT,8401940,1569276,2488754,1624107,1293479,198634,1227690
BE,11000638,2033484,3082202,2134475,1634955,248225,1867297
BG,7364570,1357480,2088763,1581658,1253918,107479,975272
CH,7954662,1467300,2388155,1539406,1180350,184802,1194649
CY,840407,196005,248677,148925,101112,10740,134948
CZ,10436560,1968595,3143124,2155450,1490155,154681,1488928
DE,80219695,13722052,22845672,16328559,14632956,1885165,10805291
DK,5560628,1005473,1545591,1080696,822465,111316,995087
EE,1294455,254857,352517,257750,206567,22873,199891
EL,10816286,1904144,3216399,2017623,1877891,230961,1569268
ES,46815910,7806240,15430055,8394540,7032320,1083495,7069260
FI,5375276,1005927,1379954,1160677,826881,114160,887677
FR,64933400,12030536,17556247,12416832,9271403,1629587,12028794
HR,4284889,794901,1173867,905060,698033,60600,652428
HU,9937628,1823070,2897106,2092673,1512103,165017,1447659
IE,4574888,942488,1389900,734221,473321,58242,976716
IS,315556,68139,85145,56275,35140,5142,65715
IT,59433744,9197356,17913407,11611966,10693827,1691145,8326043
LI,36149,6599,11194,7559,4482,540,5775
LT,3043429,624718,840024,579549,494707,51219,453212
LU,512353,97043,162035,92896,63548,8194,88637
LV,2070371,423243,566383,406139,347097,33359,294150
MT,417432,85952,111124,90437,61714,6477,61728
NL,16655799,3043011,4720549,3390218,2288227,306719,2907075
NO,4979954,975401,1400965,913377,652586,113852,923773
PL,38044565,8337774,10549360,8154851,4689478,531532,5781570
PT,10562178,1803391,3141642,2034752,1775733,234331,1572329
RO,20121641,3777904,5881752,4024595,2984482,263262,3189646
SE,9482855,1838374,2519183,1756360,1531341,253327,1584270
SI,2050189,375365,616727,428300,304846,34098,290853
SK,5397036,1182415,1622169,1082934,622072,60801,826645
UK,63182180,12599990,17588660,11516505,8985140,1391985,11099895
